PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	mean_KL	cor_entropy_iwcn
1B4T	A	0.271864567477	3.9200276354	0.601372321349	1.51116996743	0.620233902472
1CI0	A	0.286064887526	4.66456843481	0.642229899783	2.11254871985	0.586433929355
1EFV	B	0.30072727118	3.27926576581	0.677287282257	2.06326578059	0.644492280415
1G58	B	0.240971720328	3.75260880241	0.602551369925	1.98755605609	0.564568579108
1GV3	A	0.234670622191	4.5390203536	0.688826155358	1.57259673587	0.633442280797
1HUJ	A	0.229433926429	3.6529173229	0.61215011816	1.8442582283	0.530561677652
1HUR	A	0.257334788616	2.26324311593	0.640693771012	2.39438572354	0.635777263705
1IBS	A	0.23927975617	3.22978247272	0.654727332149	2.17664454519	0.568783195153
1JLW	A	0.252546244352	2.27517308061	0.541380213778	2.55791914286	0.48009658361
1KY2	A	0.277746549113	3.68091097897	0.685930405142	1.82343055802	0.696749357697
1KZL	A	0.272263998943	3.54293652476	0.671721652697	2.1022016432	0.636324665716
1M3U	A	0.216935327278	3.48277394712	0.628374429565	1.82217457764	0.563326101492
1MOZ	A	0.24925475052	2.6124970086	0.590919855274	2.54151590733	0.623414428173
1OKC	A	0.273555885293	1.79657736923	0.520200878204	2.743162042	0.400003494636
1PV1	A	0.214651335954	3.15012515804	0.676795357716	2.46800416102	0.617406992208
1QMV	A	0.267037249942	4.27582025066	0.595451927545	1.33769621231	0.562126681983
1R6M	A	0.251870117166	3.23210984301	0.649890698755	1.96928922456	0.553355178528
1RII	A	0.238112161049	4.19427462313	0.658870101763	1.67469284414	0.609529643458
1V9S	B	0.291048527792	2.97058519231	0.615888595448	2.35829360505	0.563235614887
1W7W	B	0.28605603807	3.16459358798	0.715988547928	2.06747781319	0.628127760531
1X1O	B	0.259761605593	3.63512884926	0.552586288535	2.1820229388	0.492363061825
1XTD	A	0.359417870806	2.17715779385	0.412180839867	3.27516776171	0.429980677201
1YPI	A	0.249239643811	4.00675054297	0.655908494418	1.86782087382	0.630793070179
1YSB	A	0.244461153636	2.93518687046	0.592790861385	2.19561859883	0.563485185172
1ZNN	A	0.24831884401	3.75889838074	0.606113752733	1.45280740793	0.559775128439
1ZWK	A	0.260574665389	2.85187400866	0.640248976825	1.99358223251	0.622950947945
2A84	A	0.263706110583	4.57073902132	0.616212947948	1.8523045803	0.485998552757
2AIU	A	0.311907544476	2.635684614	0.47575392008	1.61485816416	0.582892347085
2BCG	Y	0.294191626365	3.590599087	0.655538052811	1.58962593479	0.661549315223
2BR9	A	0.268165763329	3.2562718066	0.630235279981	1.83850136248	0.564264286678
2CFE	A	0.243569700844	4.36160455737	0.56679295945	1.20053127212	0.575948272647
2CJM	C	0.253074315573	4.25946882942	0.725721219858	1.24099609952	0.627682884346
2CNV	A	0.252445096167	4.06169021411	0.603128980121	1.80020338137	0.45904571764
2ESF	A	0.286815097759	2.98528515818	0.641661733568	2.25787292621	0.65040379984
2EU8	A	0.266040799893	3.21804046875	0.513369654444	1.61231384401	0.401880934991
2FLI	A	0.231035159097	3.50154081152	0.648908386105	2.20675318906	0.601703130327
2G0N	B	0.263307149214	4.60351524234	0.649291826653	1.33203886211	0.647989898672
2GV5	D	0.367905374418	1.26148812536	0.143943818087	3.86424347699	0.177172272552
