PDB	Chain	mean_entropy_method_rosetta	mean_entropy_method_evolved	natural_cor_entropy_RSA_value
1B4T	A	1.60533404453	3.9200276354	0.552814063176
1CI0	A	2.17888197308	4.66456843481	0.475358105936
1EFV	B	1.8868982823	3.27926576581	0.177294761278
1G58	B	1.96701988411	3.75260880241	0.27215281954
1GV3	A	2.13454483463	4.5390203536	0.428085453371
1HUJ	A	1.97643519857	3.6529173229	0.516921206609
1HUR	A	1.73106611942	2.26324311593	0.374459478643
1IBS	A	1.80988725607	3.22978247272	0.207636762672
1JLW	A	2.01074990137	2.27517308061	0.282870923905
1KY2	A	1.83924636653	3.68091097897	0.470962068668
1KZL	A	1.68684654482	3.54293652476	0.406626233136
1M3U	A	1.96816529757	3.48277394712	0.485576224308
1MOZ	A	1.97297643654	2.6124970086	0.32933068055
1OKC	A	2.35318079391	1.79657736923	0.540295785157
1PV1	A	1.67554955052	3.15012515804	0.561152543471
1QMV	A	1.68827936425	4.27582025066	0.417660383066
1R6M	A	1.84550454937	3.23210984301	0.441566988786
1RII	A	1.84439515332	4.19427462313	0.493141185356
1V9S	B	1.80662947251	2.97058519231	0.200218173049
1W7W	B	1.9623847919	3.16459358798	0.417600918031
1X1O	B	1.71485153754	3.63512884926	0.3109787673
1XTD	A	1.84346611833	2.17715779385	-0.0774962657714
1YPI	A	1.93476518958	4.00675054297	0.364492460287
1YSB	A	1.79417241111	2.93518687046	0.400141120746
1ZNN	A	1.97702403947	3.75889838074	0.426050661972
1ZWK	A	1.84419322485	2.85187400866	0.308712828351
2A84	A	2.01926823778	4.57073902132	0.334091048329
2AIU	A	1.56157876048	2.635684614	0.361455008127
2BCG	Y	1.76693859167	3.590599087	0.421255273773
2BR9	A	2.28473235665	3.2562718066	0.384899079943
2CFE	A	1.70429317227	4.36160455737	0.482830871694
2CJM	C	1.70053867648	4.25946882942	0.432510755873
2CNV	A	2.01610846717	4.06169021411	0.458758845418
2ESF	A	2.19846877561	2.98528515818	0.357540292694
2EU8	A	2.10609507275	3.21804046875	0.58246235361
2FLI	A	1.86487723615	3.50154081152	0.366816310037
2G0N	B	2.1890636066	4.60351524234	0.472471561103
2GV5	D	2.05303361818	1.26148812536	0.318385379979
