PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	split_mean_KL	cor_entropy_icn	cor_entropy_iwcn
1B4T	A	0.271864567477	3.62347196064	0.552814063176	0.139394594864	0.482158031406	0.520175065513
1CI0	A	0.286064887526	4.10645350892	0.475358105936	0.19598351158	0.444703454336	0.41150250056
1EFV	B	0.30072727118	2.64064425529	0.177294761278	0.156344474728	0.202919240861	0.229358499509
1G58	B	0.240971720328	3.3890122991	0.27215281954	0.117529606253	0.236807069914	0.242088246769
1GV3	A	0.234670622191	3.59221774906	0.428085453371	0.160168576843	0.3912078214	0.384973891404
1HUJ	A	0.229433926429	3.50943010003	0.516921206609	0.260410212572	0.478277208364	0.527335749845
1HUR	A	0.257334788616	3.21812445265	0.374459478643	0.175652793992	0.352909370715	0.334747192977
1IBS	A	0.23927975617	3.69408890841	0.207636762672	0.0903150564926	0.188148620941	0.231184874827
1JLW	A	0.252546244352	2.85200869542	0.282870923905	0.263346568109	0.226535269135	0.233081472824
1KY2	A	0.277746549113	3.28524958773	0.470962068668	0.331320301141	0.481704899705	0.471529652553
1KZL	A	0.272263998943	3.95570063907	0.406626233136	0.281779774382	0.447686565049	0.467881311124
1M3U	A	0.216935327278	3.49461215239	0.485576224308	0.201422259894	0.43770915562	0.494410231631
1MOZ	A	0.24925475052	3.24230631437	0.32933068055	0.224735314111	0.26383605713	0.259570752742
1OKC	A	0.273555885293	2.84833371031	0.540295785157	0.224108894703	0.556952304438	0.594286610086
1PV1	A	0.214651335954	3.85604478671	0.561152543471	0.204445107127	0.510100114901	0.536578790564
1QMV	A	0.267037249942	3.05238185292	0.417660383066	0.124076435072	0.333019297308	0.289909304481
1R6M	A	0.251870117166	3.66977111811	0.441566988786	0.0805274295347	0.373974808805	0.44791406878
1RII	A	0.238112161049	3.64143793171	0.493141185356	0.130648901378	0.443444269617	0.450012582402
1V9S	B	0.291048527792	3.45201199299	0.200218173049	0.109612198341	0.218436103131	0.241875732829
1W7W	B	0.28605603807	3.39337656672	0.417600918031	0.123141185482	0.443326861943	0.445286298837
1X1O	B	0.259761605593	4.19318882544	0.3109787673	0.182510337923	0.327554735701	0.348850248321
1XTD	A	0.359417870806	2.74365075628	-0.0774962657714	0.159655420367	-0.133212255334	-0.13431317362
1YPI	A	0.249239643811	3.7358956297	0.364492460287	0.150484252276	0.35961893584	0.415035272939
1YSB	A	0.244461153636	3.01897902706	0.400141120746	0.250208368443	0.317327841495	0.322973876382
1ZNN	A	0.24831884401	2.75850401503	0.426050661972	0.161160326477	0.503287582674	0.553525213181
1ZWK	A	0.260574665389	3.10495079883	0.308712828351	0.18672045752	0.313999660667	0.338955160636
2A84	A	0.263706110583	4.30585443758	0.334091048329	0.238176840724	0.270747314635	0.369519443595
2AIU	A	0.311907544476	2.73466671652	0.361455008127	0.202654692208	0.262960379033	0.260359261051
2BCG	Y	0.294191626365	4.28740740892	0.421255273773	0.18235485317	0.489017742618	0.504078524673
2BR9	A	0.268165763329	3.16816956907	0.384899079943	0.193643931102	0.460390106661	0.478673557507
2CFE	A	0.243569700844	3.16488260045	0.482830871694	0.0730990788075	0.439835836811	0.427410236899
2CJM	C	0.253074315573	3.56537974498	0.432510755873	0.159518510288	0.404937598611	0.448985921342
2CNV	A	0.252445096167	3.95132394823	0.458758845418	0.170205810909	0.509790429505	0.547093824109
2ESF	A	0.286815097759	4.00369850675	0.357540292694	0.203577030558	0.358678118915	0.401542068882
2EU8	A	0.266040799893	3.35554221015	0.58246235361	0.193762255981	0.528033076859	0.542257642926
2FLI	A	0.231035159097	3.86209136187	0.366816310037	0.108721145706	0.414732771654	0.48113825593
2G0N	B	0.263307149214	3.54915799297	0.472471561103	0.195833569457	0.441064519086	0.429170567728
2GV5	D	0.367905374418	3.05831795862	0.318385379979	0.258806410737	0.24779087277	0.307458824863
