PDB	mean_entropy_method_rosetta	mean_entropy_method_evolved	mean_entropy_split_natural
1B4T	1.72161532807	5.98873968697	5.11955866238
1CI0	2.10898088694	6.63500258774	5.41052556398
1EFV	2.02839969714	4.80188086109	3.02818660639
1G58	2.00021786219	5.48791969324	4.29642449811
1GV3	2.22282992678	7.55068356629	4.59552118643
1HUJ	1.94088141916	5.73943011795	4.96658534744
1HUR	1.79885390771	3.27323121125	4.14509136539
1IBS	1.9543055026	5.07408822785	4.65538474508
1JLW	2.04275531836	3.25829657962	3.35456000243
1KY2	1.95955257818	5.6405310553	4.38067893623
1KZL	1.6840571143	5.41213865703	4.99513985309
1M3U	1.95503395727	5.77849375975	4.96096015353
1MOZ	2.23598582803	3.78390621516	4.05342827437
1OKC	2.29273617559	2.22756263552	3.96772892143
1PV1	1.67214037701	5.31074291437	5.55440813872
1QMV	1.70257343395	6.34579682821	3.93385766174
1R6M	1.9612573259	4.9203386818	5.1398928868
1RII	1.87302716867	6.75072831483	4.72657365094
1V9S	1.91582287537	4.24997833682	3.81572142098
1W7W	1.9671065199	4.93043540582	4.55273239248
1X1O	1.87123067509	5.52353800501	5.34740570902
1XTD	1.97259565797	2.59751492352	2.76569563266
1YPI	1.90041514533	6.44780564367	4.84907705523
1YSB	1.80297898329	4.64234297533	3.98919961697
1ZNN	1.89775471503	5.75191821757	3.82321591162
1ZWK	1.7746691344	4.16126092312	4.00075939242
2A84	1.97865995156	7.28285463748	5.46233817988
2AIU	1.44575757826	3.57756721966	3.46487988432
2BCG	1.81608391074	5.12586657003	5.68710069208
2BR9	2.40731326714	4.69480174439	3.9190081858
2CFE	1.78856029259	6.81335720864	4.24679229001
2CJM	1.67942544422	6.90592753592	4.94527267889
2CNV	1.98795004546	6.49232017983	5.11365173302
2ESF	2.33365443813	4.33882879285	4.98782901289
2EU8	2.04969295425	4.43156743229	4.6981575678
2FLI	1.85834059179	5.84541843347	5.19431449096
2G0N	2.10595192252	6.72083217336	4.68106682665
2GV5	2.07154865158	1.36246576973	3.41123912598
