PDB	mean_KL_method_rosetta	mean_KL_method_evolved	mean_KL_split_natural
1B4T	3.30705419467	1.51116996743	0.139394594864
1CI0	4.26011827964	2.11254871985	0.19598351158
1EFV	3.72806444339	2.06326578059	0.156344474728
1G58	3.58741640224	1.98755605609	0.117529606253
1GV3	3.54320221798	1.57259673587	0.160168576843
1HUJ	3.48125023686	1.8442582283	0.260410212572
1HUR	3.73622744455	2.39438572354	0.175652793992
1IBS	3.60468816408	2.17664454519	0.0903150564926
1JLW	3.88217661667	2.55791914286	0.263346568109
1KY2	3.30851820385	1.82343055802	0.331320301141
1KZL	3.94786340355	2.1022016432	0.281779774382
1M3U	3.3488638498	1.82217457764	0.201422259894
1MOZ	3.61769779868	2.54151590733	0.224735314111
1OKC	4.31798231675	2.743162042	0.224108894703
1PV1	4.01874072826	2.46800416102	0.204445107127
1QMV	3.42469025677	1.33769621231	0.124076435072
1R6M	3.77809246467	1.96928922456	0.0805274295347
1RII	3.29299864568	1.67469284414	0.130648901378
1V9S	3.98200127547	2.35829360505	0.109612198341
1W7W	3.86148697743	2.06747781319	0.123141185482
1X1O	3.74580557379	2.1820229388	0.182510337923
1XTD	4.14610182963	3.27516776171	0.159655420367
1YPI	3.79403553582	1.86782087382	0.150484252276
1YSB	3.52090656832	2.19561859883	0.250208368443
1ZNN	2.9704370505	1.45280740793	0.161160326477
1ZWK	3.5792494488	1.99358223251	0.18672045752
2A84	3.83638814602	1.8523045803	0.238176840724
2AIU	3.28526518667	1.61485816416	0.202654692208
2BCG	3.49940378371	1.58962593479	0.18235485317
2BR9	3.56117553439	1.83850136248	0.193643931102
2CFE	2.80134532378	1.20053127212	0.0730990788075
2CJM	3.42213741518	1.24099609952	0.159518510288
2CNV	3.53572528362	1.80020338137	0.170205810909
2ESF	3.68192862208	2.25787292621	0.203577030558
2EU8	3.37602520007	1.61231384401	0.193762255981
2FLI	3.63825903338	2.20675318906	0.108721145706
2G0N	3.38707301603	1.33203886211	0.195833569457
2GV5	3.51121067662	3.86424347699	0.258806410737
