PDB	chain	mean_entropy	split_mean_KL
1B4T	A	1.81504131046	0.211494493413
1CI0	A	2.02263438723	0.211494493413
1EFV	B	2.13302830265	0.211494493413
1G58	B	2.46916512273	0.211494493413
1GV3	A	2.36733189158	0.211494493413
1HUJ	A	1.86387869037	0.211494493413
1HUR	A	2.0796902343	0.211494493413
1IBS	A	2.733216964	0.211494493413
1JLW	A	2.11547072159	0.211494493413
1KY2	A	1.82184408796	0.211494493413
1KZL	A	2.37434630139	0.211494493413
1M3U	A	2.12076591171	0.211494493413
1MOZ	A	2.18006085679	0.211494493413
1OKC	A	1.67292720389	0.211494493413
1PV1	A	2.23462917061	0.211494493413
1QMV	A	2.05808403334	0.211494493413
1R6M	A	1.95879427125	0.211494493413
1RII	A	2.15838580986	0.211494493413
1V9S	B	3.05102761286	0.211494493413
1W7W	B	2.05991592763	0.211494493413
1X1O	B	2.72636720332	0.211494493413
1XTD	A	2.18969863123	0.211494493413
1YPI	A	2.21218046967	0.211494493413
1YSB	A	1.84077712153	0.211494493413
1ZNN	A	1.57616992607	0.211494493413
1ZWK	A	1.87976659477	0.211494493413
2A84	A	2.9129380343	0.211494493413
2AIU	A	2.05940126995	0.211494493413
2BCG	Y	1.95493268522	0.211494493413
2BR9	A	1.5969649848	0.211494493413
2CFE	A	1.88890203719	0.211494493413
2CJM	C	1.94453743452	0.211494493413
2CNV	A	2.15735995084	0.211494493413
2ESF	A	2.43314606688	0.211494493413
2EU8	A	1.63741168114	0.211494493413
2FLI	A	2.56112566572	0.211494493413
2G0N	B	1.97069943794	0.211494493413
2GV5	D	1.62251199841	0.211494493413
