PDB	mean_entropy_method_rosetta	mean_entropy_method_evolved	mean_entropy_split_natural
1B4T	1.47408853128	2.33467899306	2.56641103788
1CI0	2.34546116622	3.33322329491	3.22441228637
1EFV	2.05633233298	2.08596654636	2.31670903154
1G58	2.10248955689	3.27808694443	2.84499410485
1GV3	2.0588524934	3.08802354973	3.51068508997
1HUJ	2.09081570299	3.0244755342	3.22722129849
1HUR	1.88044038842	1.58313334344	2.95458948276
1IBS	2.06922661097	2.56145243254	3.30632334306
1JLW	2.25978361381	1.69736220898	2.7347857469
1KY2	1.81613762947	2.38890412649	2.72207992826
1KZL	1.7831726841	2.03503407604	3.52531933363
1M3U	2.23420573638	3.01399729732	3.2088816365
1MOZ	2.00906997252	2.2357870196	3.0907177013
1OKC	2.65762235554	1.56162370737	1.93566049947
1PV1	1.83252031224	2.75205124626	3.87579857963
1QMV	1.68842891659	3.26195368949	2.4722389375
1R6M	1.98309374452	2.50848368169	3.03359061014
1RII	2.2273110854	3.05054644962	3.52779035241
1V9S	1.91716288794	1.81817270428	3.05628641548
1W7W	2.17577991325	1.93701570424	2.57167430228
1X1O	1.73065338472	2.79243740564	3.84611642653
1XTD	1.83360872997	1.59071290905	2.93290243677
1YPI	2.33619661167	3.47471461305	3.81989614604
1YSB	2.12815501122	2.17002148902	2.84086313495
1ZNN	2.23114031207	2.82703466608	2.24398842413
1ZWK	1.88870024304	2.40113790759	2.92205472805
2A84	2.29227712036	3.08997715535	3.78283368487
2AIU	1.81186043467	1.91525354417	1.98420965141
2BCG	2.00932567389	2.69298940966	3.75961667909
2BR9	2.44916423348	2.37043101886	2.99107422522
2CFE	1.73907838705	3.3852117338	2.89699582103
2CJM	1.83088958066	2.91178147862	2.98742896282
2CNV	2.03243176814	2.6263920482	3.78141239497
2ESF	2.33228930997	1.89012558497	3.38872723885
2EU8	2.33167868218	2.80448068791	2.57651561621
2FLI	1.93416110675	2.65880107437	3.56312066155
2G0N	2.43892077904	3.96129609547	3.1105572324
2GV5	2.26383604	1.07172326897	2.63691263316
