PDB	mean_KL_method_rosetta	mean_KL_method_evolved	mean_KL_split_natural
1B4T	2.34160260318	1.52652977565	0.100309572123
1CI0	4.49335713562	2.52703119687	0.142745599997
1EFV	3.21349956541	1.83135956092	0.131161624974
1G58	3.19356460409	1.74056154109	0.11427253832
1GV3	3.76795809293	1.55628123036	0.143169387083
1HUJ	3.17901016101	2.26389125874	0.229698202927
1HUR	3.4632995327	2.47640311684	0.162300247723
1IBS	3.29366590693	2.23023166385	0.0843383552444
1JLW	3.68274831595	2.53914615605	0.238376586166
1KY2	3.39310521563	2.44942361019	0.296695841842
1KZL	3.14031822554	1.96967194888	0.248728761577
1M3U	3.093653914	1.90012028539	0.196449220373
1MOZ	3.50369967009	2.65790477069	0.176767167022
1OKC	3.94955354137	2.2486052766	0.131917056045
1PV1	4.32454732105	2.77108715374	0.184740289945
1QMV	3.06867816256	1.07175850779	0.106455835266
1R6M	3.85504432122	2.15687124069	0.0582527150746
1RII	3.06298035221	1.93658115718	0.134602275943
1V9S	3.69216199355	2.39650085446	0.102517200904
1W7W	3.59910690924	2.0674780326	0.0831613379732
1X1O	3.8700855014	2.48850481776	0.156154224183
1XTD	3.96601009848	3.56004794947	0.146276640078
1YPI	3.87662462662	1.89400453105	0.164191840068
1YSB	3.35770052159	2.60396077864	0.272885756027
1ZNN	2.80070621745	1.5094579584	0.119360532153
1ZWK	3.88816305076	2.53386470319	0.171715418794
2A84	3.67290700346	2.12700402937	0.189295762468
2AIU	3.17485127412	1.58799865576	0.155405655056
2BCG	3.02319231647	1.53949658242	0.133601310862
2BR9	3.05845568032	1.8239806974	0.154555159325
2CFE	2.75565221898	1.02712959764	0.0587320662189
2CJM	2.80757017427	1.23908131439	0.130029991954
2CNV	3.28314860435	2.16691706469	0.15425951416
2ESF	2.56166727602	2.27650103959	0.171039735859
2EU8	3.63848088853	1.73909724055	0.143725538896
2FLI	3.19827362612	2.28538631708	0.122528188519
2G0N	3.34478159606	1.23933650362	0.166278660422
2GV5	2.99029173502	2.80203192008	0.209226042753
