PDB	mean_KL_method_rosetta	mean_KL_method_evolved	mean_KL_split_natural
1B4T	4.36549049368	1.50228453813	0.174055248874
1CI0	4.90054429767	1.91269617744	0.259223026662
1EFV	4.73325445123	2.16010623414	0.145956895628
1G58	4.32370277064	1.80624458629	0.140680242641
1GV3	4.18996684249	1.39085858949	0.219654269174
1HUJ	4.31971107547	1.81621282918	0.426775475743
1HUR	5.045644824	2.96936437577	0.181159827633
1IBS	4.44195829525	2.00595741513	0.0982876155608
1JLW	4.54489208828	2.84688028552	0.366698687998
1KY2	4.10524255187	1.70337422619	0.456966444305
1KZL	5.02104377104	2.2913451252	0.346844146264
1M3U	4.57562327016	1.72591084144	0.280246694102
1MOZ	4.69509953731	2.65061085088	0.309596839038
1OKC	5.07704479866	3.67230982169	0.29868659542
1PV1	5.07451191853	2.35447361822	0.302743973706
1QMV	4.12639471583	1.49681530451	0.186270265355
1R6M	4.85882311278	2.19014155638	0.126762887653
1RII	4.04086694585	1.53915392329	0.180183079993
1V9S	4.42369984377	2.07404760954	0.132962910065
1W7W	4.78758538798	2.1136111988	0.154625392111
1X1O	4.32953452698	2.00283614091	0.235721397095
1XTD	4.55985876573	3.35721154884	0.259088939268
1YPI	4.58761286494	1.83382389642	0.184548849693
1YSB	3.93309000161	2.10436836771	0.445647302988
1ZNN	3.65066995708	1.4800381451	0.188589934545
1ZWK	4.62883691228	2.15074040198	0.233904951546
2A84	4.47124595207	1.65694635878	0.334919294097
2AIU	3.84746766283	1.80875538572	0.259138228218
2BCG	4.51785774661	1.69065586089	0.286934909985
2BR9	4.34966852121	2.16652224104	0.215314392745
2CFE	3.58727079803	1.43094048298	0.110701034364
2CJM	4.4662712993	1.38006447734	0.31159389846
2CNV	4.25318224658	1.5896208603	0.260577770916
2ESF	4.38575886874	2.2510489868	0.254052537817
2EU8	3.91671439237	1.69267306613	0.320962871253
2FLI	4.4656193518	1.81077598954	0.129115121005
2G0N	4.35893037991	1.55006548972	0.235693187601
2GV5	3.89207798057	4.53464976551	0.251207475198
