PDB	chain	mean_entropy	mean_KL
1B4T	A	1.50358915853	2.19970990133
1CI0	A	2.15831193947	2.4979184622
1EFV	B	1.43667827782	2.11163383858
1G58	B	1.81165830627	2.80377553098
1GV3	A	2.06842803319	2.58496047371
1HUJ	A	1.9140907301	2.667734091
1HUR	A	1.51831782624	2.05181838158
1IBS	A	1.43219796156	2.74816057078
1JLW	A	1.69849888366	2.95729500208
1KY2	A	1.63362176651	1.67134758606
1KZL	A	1.61801239045	2.59405741787
1M3U	A	1.75843314519	2.21311465869
1MOZ	A	1.56612651359	2.14277605659
1OKC	A	1.93040267324	3.04365559615
1PV1	A	1.59217782929	2.84885751388
1QMV	A	1.66100571271	2.50972299639
1R6M	A	1.55260012649	2.06125905204
1RII	A	1.41934925579	2.42258215462
1V9S	B	1.3362019621	3.20390466177
1W7W	B	1.67008999343	2.27484332799
1X1O	B	1.44565328504	2.66771125729
1XTD	A	1.11507979298	2.14634603358
1YPI	A	1.57775982471	2.68508643271
1YSB	A	1.48982859925	3.09695963844
1ZNN	A	1.85549601194	2.06067732582
1ZWK	A	1.91206102227	1.67392606694
2A84	A	1.75079645541	2.91764504345
2AIU	A	1.31243575021	1.49677946645
2BCG	Y	1.44009793104	1.88876674627
2BR9	A	1.6942613841	2.45827736075
2CFE	A	1.55157892097	1.73174012734
2CJM	C	1.60822254506	2.36652103509
2CNV	A	2.04530086428	2.60101855667
2ESF	A	1.72263105644	3.36944581883
2EU8	A	1.91850519002	1.9080316519
2FLI	A	1.81380448641	3.04577074303
2G0N	B	2.12213567837	1.75100314294
2GV5	D	1.25956797534	2.16565580757
