1YPI_A_12,-426.645505007
1YPI_A_289,-426.292972652
1YPI_A_72,-424.238971755
1YPI_A_18,-424.685529342
1YPI_A_478,-425.022970058
1YPI_A_2,-424.23519376
1YPI_A_48,-425.691079511
1YPI_A_481,-424.791145073
1YPI_A_176,-424.935234458
1YPI_A_267,-424.966187109
1YPI_A_466,-424.432209609
1YPI_A_467,-423.84097619
1YPI_A_396,-424.45343592
1YPI_A_465,-424.206455189
1YPI_A_408,-425.545604277
1YPI_A_391,-423.732048322
1YPI_A_114,-424.23289166
1YPI_A_88,-424.36631515
1YPI_A_275,-424.09372325
1YPI_A_274,-423.942975867
1YPI_A_400,-424.226052429
1YPI_A_124,-424.276513618
1YPI_A_270,-424.119994783
1YPI_A_255,-425.407519065
1YPI_A_254,-425.2467864
1YPI_A_374,-423.704473727
1YPI_A_230,-424.619126383
1YPI_A_83,-424.060475391
1YPI_A_250,-424.852989217
1YPI_A_234,-424.403954024
1YPI_A_500,-424.489268134
1YPI_A_297,-424.265084242
1YPI_A_258,-424.107440775
1YPI_A_334,-424.017262221
1YPI_A_360,-423.353131526
1YPI_A_376,-425.51133908
1YPI_A_60,-423.69041075
1YPI_A_359,-426.642110245
1YPI_A_492,-425.54243269
1YPI_A_496,-424.365733695
1YPI_A_495,-424.21614955
1YPI_A_167,-425.365620991
1YPI_A_165,-424.23215146
1YPI_A_102,-426.38272289
1YPI_A_79,-426.359952578
1YPI_A_148,-424.167658339
1YPI_A_210,-428.045953939
1YPI_A_457,-424.007260822
1YPI_A_381,-424.189489141
1YPI_A_120,-424.870847565
1YPI_A_453,-424.430090229
1YPI_A_168,-424.24352826
1YPI_A_268,-423.998195089
1YPI_A_99,-426.35340082
1YPI_A_476,-424.158421071
1YPI_A_105,-425.663255287
1YPI_A_349,-424.218778829
1YPI_A_473,-423.979519706
1YPI_A_108,-424.122708712
1YPI_A_418,-424.779937536
1YPI_A_265,-425.004414619
1YPI_A_341,-425.16860729
1YPI_A_324,-424.48042948
1YPI_A_246,-424.411461011
1YPI_A_229,-424.173074118
1YPI_A_91,-424.211603909
1YPI_A_320,-425.149125508
1YPI_A_195,-424.085679029
1YPI_A_369,-424.119360291
1YPI_A_221,-424.2137316
