PDB	mean_KL_method_rosetta	mean_KL_method_evolved	mean_KL_split_natural
1B4T	2.98715345885	1.4859331051	0.139015940324
1CI0	3.51551410326	1.93035743497	0.223908877684
1EFV	3.21269782363	1.86944011067	0.139134670274
1G58	2.98528744791	1.77339997867	0.111218024423
1GV3	3.1029495524	1.49148281187	0.168000158927
1HUJ	3.08868433425	1.76460174714	0.291701903199
1HUR	2.92744933204	1.93787506811	0.179292679699
1IBS	3.04778755333	1.98731171838	0.0917111249328
1JLW	3.31977216526	2.10561025699	0.229669031239
1KY2	2.90179289601	1.68947462114	0.284700371813
1KZL	2.90057930636	1.9122184449	0.276584379818
1M3U	2.89797500501	1.63249775698	0.181762591668
1MOZ	2.94646354015	2.24690005295	0.211760079424
1OKC	4.25707329603	2.75438861861	0.183276527306
1PV1	3.33548234296	2.16433804522	0.180571621693
1QMV	2.86020312943	1.28534329217	0.122083699576
1R6M	3.11646326546	1.81847546688	0.086456461843
1RII	2.61980096003	1.54721802426	0.122982900653
1V9S	3.59331335511	2.20080043916	0.114416407127
1W7W	2.95478929388	1.75068862226	0.125827567812
1X1O	3.12529027473	1.97139521306	0.171159489872
1XTD	3.78443227076	2.98152677657	0.167698810751
1YPI	3.10000180374	1.69672756262	0.146564178353
1YSB	2.71071042273	1.96325020159	0.28314481971
1ZNN	2.34944159065	1.36930343331	0.143679647665
1ZWK	2.79344613432	1.7236803505	0.160261887908
2A84	3.14469797348	1.71254188023	0.210799201836
2AIU	2.46167727618	1.34915269479	0.19676631016
2BCG	2.89043279049	1.44245472375	0.21507362855
2BR9	2.97978217637	1.75280667872	0.17575247341
2CFE	2.19999655598	1.13372694986	0.0812653334794
2CJM	2.42260490184	1.20536064669	0.20663368494
2CNV	2.94288298387	1.67165649506	0.182020360192
2ESF	3.1574554995	1.99314524954	0.207503681226
2EU8	2.99424146111	1.53630790631	0.182321592905
2FLI	2.9327095734	1.91014936081	0.101996672836
2G0N	2.62036753494	1.29857275775	0.173165432954
2GV5	3.19834018859	3.46942959856	0.224192919047
