PDB	chain	mean_entropy	mean_KL
1B4T	A	1.44756930918	2.05674320267
1CI0	A	1.69231454412	2.2818959217
1EFV	B	1.33374564655	1.85995258795
1G58	B	1.58019734241	2.39439036398
1GV3	A	2.01450242652	2.24861877306
1HUJ	A	1.95205626264	2.43892170358
1HUR	A	1.27847085548	1.68372963689
1IBS	A	1.3120322562	2.30088188819
1JLW	A	1.61846112915	2.57766333241
1KY2	A	1.26820103323	1.47562892255
1KZL	A	1.38551358387	2.02512537228
1M3U	A	1.563211889	1.95521595959
1MOZ	A	1.4509767636	1.81679650709
1OKC	A	1.9346591995	3.00996008736
1PV1	A	1.4023600185	2.54288341126
1QMV	A	1.38779092333	2.15756143416
1R6M	A	1.42700480797	1.80509930283
1RII	A	1.28801403368	1.90994307506
1V9S	B	1.25106637292	2.9494058527
1W7W	B	1.48335463848	1.86656277093
1X1O	B	1.3208593174	2.36294726857
1XTD	A	1.12069181873	1.7723615496
1YPI	A	1.42676526909	2.26218695309
1YSB	A	1.49693340807	2.41127257762
1ZNN	A	1.63045790446	1.68622708781
1ZWK	A	1.66514486283	1.47196260645
2A84	A	1.59523997497	2.38930043161
2AIU	A	1.05567878774	0.962665330803
2BCG	Y	1.35690998853	1.61659313362
2BR9	A	1.62074017216	2.10103084143
2CFE	A	1.46807777229	1.43154148469
2CJM	C	1.64213341528	1.86245600311
2CNV	A	1.85118575779	2.18577486127
2ESF	A	1.52575437179	2.82349800685
2EU8	A	1.60148252425	1.91145643077
2FLI	A	1.56107761126	2.64591787539
2G0N	B	1.83705587979	1.73634600301
2GV5	D	1.31734361654	1.93721729212
