PDB	mean_entropy_method_rosetta	mean_entropy_method_evolved	mean_entropy_split_natural
1B4T	1.36952793803	2.30773252313	2.56641103788
1CI0	1.93072465478	3.11021854324	3.22441228637
1EFV	1.8312991356	1.98840735657	2.31670903154
1G58	1.81593280158	3.16572993984	2.84499410485
1GV3	2.01871847261	2.94979752413	3.51068508997
1HUJ	2.13513843088	2.96021799547	3.22722129849
1HUR	1.60509522346	1.5495710748	2.95458948276
1IBS	1.7743650718	2.45526058649	3.30632334306
1JLW	2.1722838505	1.65015218491	2.7347857469
1KY2	1.58496305632	2.29443863338	2.72207992826
1KZL	1.59117012163	1.96543344732	3.52531933363
1M3U	1.90911277428	2.85376893811	3.2088816365
1MOZ	1.85599254501	2.13515100173	3.0907177013
1OKC	2.66800144874	1.51534503531	1.93566049947
1PV1	1.6827344444	2.6913638313	3.87579857963
1QMV	1.49458898785	3.12517224143	2.4722389375
1R6M	1.67970775705	2.38726321664	3.03359061014
1RII	1.86938882391	2.85604587469	3.52779035241
1V9S	1.77695603784	1.80781193391	3.05628641548
1W7W	1.90169615223	1.85266850035	2.57167430228
1X1O	1.54498692501	2.6249071211	3.84611642653
1XTD	1.62793694312	1.58723063856	2.93290243677
1YPI	2.031543174	3.18900379848	3.81989614604
1YSB	2.06368858925	2.0093741057	2.84086313495
1ZNN	1.81613696477	2.59050990231	2.24398842413
1ZWK	1.66621053486	2.25194164618	2.92205472805
2A84	2.00065643854	2.90305468289	3.78283368487
2AIU	1.22507925802	1.80748443813	1.98420965141
2BCG	1.70977680551	2.59446895671	3.75961667909
2BR9	2.37088431436	2.26489655787	2.99107422522
2CFE	1.56806184725	3.1239342494	2.89699582103
2CJM	1.80747089142	2.60357565337	2.98742896282
2CNV	1.83861752414	2.50301705956	3.78141239497
2ESF	2.0296118751	1.82385976181	3.38872723885
2EU8	1.96765592749	2.64641320203	2.57651561621
2FLI	1.65624705107	2.52697584114	3.56312066155
2G0N	2.07488039309	3.46417067661	3.1105572324
2GV5	2.32656728498	1.06788097862	2.63691263316
