PDB	mean_KL_method_rosetta	mean_KL_method_evolved	mean_KL_split_natural
1B4T	3.85795240906	1.55728879122	0.209889434453
1CI0	3.90968684052	1.92106775963	0.309514742982
1EFV	4.00265539483	2.20591618516	0.164463949413
1G58	3.45217795987	1.76068352922	0.150539518878
1GV3	3.65651150717	1.41178865055	0.225309845568
1HUJ	3.71348030855	1.80496762274	0.4480758076
1HUR	3.7855294113	2.50058038926	0.239969540936
1IBS	3.7172420261	1.9845195864	0.112594464788
1JLW	3.81831919341	2.41103568748	0.287678666842
1KY2	3.45376001102	1.69423210627	0.391692277426
1KZL	3.57038574237	2.32243364861	0.367109129482
1M3U	3.84140198637	1.64173772048	0.249835546022
1MOZ	3.67370014812	2.57237846029	0.273508217027
1OKC	4.98520285252	3.71297464761	0.273036598316
1PV1	4.02158503989	2.28243799105	0.304136578243
1QMV	3.3419892096	1.51979911725	0.158489307065
1R6M	3.89964119671	2.19689552851	0.122741155606
1RII	3.14037833917	1.57653256131	0.178509661417
1V9S	3.99991075171	2.05331646994	0.133858423743
1W7W	3.51397648319	2.01502560379	0.188512343625
1X1O	3.53836552751	1.90691353529	0.256722636197
1XTD	4.17258216117	3.19086109274	0.175182115604
1YPI	3.62560770569	1.77146206412	0.179566447829
1YSB	3.0516955693	2.18829899895	0.374955777205
1ZNN	2.81068473352	1.51363093212	0.205511541378
1ZWK	3.49728352624	2.01195553574	0.212215548912
2A84	3.52629760049	1.70755254156	0.272596897738
2AIU	2.5672668554	1.54172673928	0.26733812342
2BCG	3.55949501944	1.6686065173	0.331176014898
2BR9	3.58381756601	2.16043206298	0.23667416399
2CFE	2.72272136908	1.48546380697	0.122132503244
2CJM	2.99563758781	1.55155012691	0.302392141704
2CNV	3.46836407409	1.58730141115	0.259109699378
2ESF	3.69098588097	2.09149853116	0.253105035576
2EU8	3.30091029425	1.62155878777	0.254951120364
2FLI	3.50178823819	1.7576381414	0.142713444462
2G0N	3.10709838496	1.63659736292	0.227672095086
2GV5	3.55297033038	4.08535903698	0.256122152517
