PDB	chain	rosetta	evolved	natural
1CI0	A	0.687629268293	0.538848780488	0.49473854622
1G58	B	0.57262244898	0.445102040816	0.469579233527
1HUJ	A	0.556185053381	0.457387900356	0.414357609765
1IBS	A	0.516558922559	0.397111111111	0.423798277299
1JLW	A	0.604847926267	0.384930875576	0.468887116075
1KZL	A	0.586158415842	0.495831683168	0.480543870192
1M3U	A	0.542099236641	0.417312977099	0.431122225147
1MOZ	A	0.587269662921	0.444539325843	0.438855500392
1PV1	A	0.541537931034	0.388462068966	0.540763560348
1QMV	A	0.524348717949	0.436707692308	0.370577007782
1RII	A	0.504255144033	0.440477366255	0.481579487179
1V9S	B	0.546845771144	0.435164179104	0.443405871184
1W7W	B	0.592346666667	0.415893333333	0.453664596273
1X1O	B	0.502405797101	0.400253623188	0.490198123045
1YPI	A	0.550469635628	0.444048582996	0.453819036428
1ZNN	A	0.501812244898	0.407787755102	0.303026819923
2A84	A	0.60355234657	0.448981949458	0.484961038961
2BCG	Y	0.601670103093	0.489360824742	0.448070607553
2BR9	A	0.655765217391	0.480730434783	0.315568810512
2CJM	C	0.525530612245	0.433591836735	0.37370925743
2ESF	A	0.653061032864	0.435690140845	0.466102889359
2FLI	A	0.545511520737	0.382350230415	0.509863636364
2GV5	D	0.613633802817	0.393985915493	0.416972857651
1B4T	A	0.44260130719	0.420117647059	0.460947712418
1EFV	B	0.556238095238	0.411920634921	0.377140974967
1GV3	A	0.581323943662	0.458356807512	0.460669424968
1HUR	A	0.562922222222	0.4334	0.319363317757
1KY2	A	0.517255555556	0.455322222222	0.429131089905
1OKC	A	0.702267123288	0.441602739726	0.341261461517
1R6M	A	0.577211864407	0.431491525424	0.389134855044
1XTD	A	0.602565517241	0.492648275862	0.490578865579
1YSB	A	0.557961538462	0.398717948718	0.477752639517
1ZWK	A	0.60250887574	0.418946745562	0.348408163265
2AIU	A	0.509288461538	0.433365384615	0.336275026344
2CFE	A	0.463	0.415716049383	0.354707409155
2CNV	A	0.569023411371	0.440688963211	0.462239981196
2EU8	A	0.622518518519	0.40287037037	0.395442520443
2G0N	B	0.629157303371	0.491651685393	0.35068333818
