PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	mean_KL	cor_entropy_icn	cor_entropy_iwcn
1B4T	A	0.271864567477	3.9200276354	0.637016722182	1.51116996743	0.414502823711	0.472553256967
1CI0	A	0.286064887526	4.66456843481	0.607083076345	2.11254871985	0.424072359515	0.451693021098
1EFV	B	0.30072727118	3.27926576581	0.641317441735	2.06326578059	0.472845176067	0.521944474946
1G58	B	0.240971720328	3.75260880241	0.56802265765	1.98755605609	0.371491640884	0.412481818365
1GV3	A	0.234670622191	4.5390203536	0.742566238136	1.57259673587	0.520362157136	0.532806767875
1HUJ	A	0.229433926429	3.6529173229	0.574878598715	1.8442582283	0.384783666763	0.421252863961
1HUR	A	0.257334788616	2.26324311593	0.563405510685	2.39438572354	0.444393915923	0.450335110464
1IBS	A	0.23927975617	3.22978247272	0.636251867987	2.17664454519	0.358056677368	0.407434532423
1JLW	A	0.252546244352	2.27517308061	0.542258046538	2.55791914286	0.398513749733	0.371978886633
1KY2	A	0.277746549113	3.68091097897	0.688055686167	1.82343055802	0.477721153684	0.553651629521
1KZL	A	0.272263998943	3.54293652476	0.690696158625	2.1022016432	0.55652121871	0.576767210484
1M3U	A	0.216935327278	3.48277394712	0.646484633525	1.82217457764	0.507701394903	0.536772909264
1MOZ	A	0.24925475052	2.6124970086	0.566614422304	2.54151590733	0.471434129761	0.456476164242
1OKC	A	0.273555885293	1.79657736923	0.399672768289	2.743162042	0.334241963463	0.304102330035
1PV1	A	0.214651335954	3.15012515804	0.658593428988	2.46800416102	0.417820112108	0.439313447143
1QMV	A	0.267037249942	4.27582025066	0.63066233465	1.33769621231	0.4529080565	0.458456102634
1R6M	A	0.251870117166	3.23210984301	0.60893155698	1.96928922456	0.415100393102	0.409080277737
1RII	A	0.238112161049	4.19427462313	0.694515588073	1.67469284414	0.516110871391	0.548679333249
1V9S	B	0.291048527792	2.97058519231	0.590228631024	2.35829360505	0.405414274686	0.421824982454
1W7W	B	0.28605603807	3.16459358798	0.659317765576	2.06747781319	0.517384547192	0.496783241156
1X1O	B	0.259761605593	3.63512884926	0.592069262332	2.1820229388	0.45167916625	0.418488190116
1XTD	A	0.359417870806	2.17715779385	0.333147403629	3.27516776171	0.116871798695	0.156667496518
1YPI	A	0.249239643811	4.00675054297	0.648088040477	1.86782087382	0.417042585097	0.495898993856
1YSB	A	0.244461153636	2.93518687046	0.588320587069	2.19561859883	0.411726635563	0.419321270975
1ZNN	A	0.24831884401	3.75889838074	0.590614944459	1.45280740793	0.328844297826	0.480719280194
1ZWK	A	0.260574665389	2.85187400866	0.516263828661	1.99358223251	0.247885476273	0.370002024234
2A84	A	0.263706110583	4.57073902132	0.605437655882	1.8523045803	0.360236736398	0.40133563342
2AIU	A	0.311907544476	2.635684614	0.509708715145	1.61485816416	0.387756633164	0.339503788086
2BCG	Y	0.294191626365	3.590599087	0.650617114051	1.58962593479	0.431876775378	0.517058648797
2BR9	A	0.268165763329	3.2562718066	0.596432051279	1.83850136248	0.480823046575	0.443737558557
2CFE	A	0.243569700844	4.36160455737	0.615018552307	1.20053127212	0.411088500149	0.472143282844
2CJM	C	0.253074315573	4.25946882942	0.726610077551	1.24099609952	0.478637214895	0.488597154177
2CNV	A	0.252445096167	4.06169021411	0.633559513091	1.80020338137	0.400390229123	0.374143289254
2ESF	A	0.286815097759	2.98528515818	0.624191251851	2.25787292621	0.549491661785	0.542950780077
2EU8	A	0.266040799893	3.21804046875	0.472408441895	1.61231384401	0.374345344494	0.327840741489
2FLI	A	0.231035159097	3.50154081152	0.650618575661	2.20675318906	0.46658226337	0.518757646121
2G0N	B	0.263307149214	4.60351524234	0.603537473513	1.33203886211	0.506482099939	0.512103480465
2GV5	D	0.367905374418	1.26148812536	0.0709183749087	3.86424347699	0.0147693117351	-0.00767237817567
