PDB	chain	natural_rosetta_corr	natural_evolved_corr	rosetta_evolved_corr
1B4T	A	0.270694280426	0.476014039023	0.675637134906
1CI0	A	-0.0140625358512	0.127088717755	0.764657057504
1EFV	B	0.0492636970128	0.173881301729	0.583490645478
1G58	B	0.102699747317	0.25831999819	0.648729083373
1GV3	A	0.0440956465805	0.273552218322	0.612427934006
1HUJ	A	0.0495852399882	0.255342626109	0.6663634102
1HUR	A	0.0956925416248	0.108569575322	0.835996756999
1IBS	A	0.0399877460654	0.241341104041	0.676824420647
1JLW	A	0.201078252928	0.238066442343	0.772000517991
1KY2	A	0.205512051897	0.41337087323	0.692894405613
