align_natural_data_array_ordered_1B4T_A.dat,1.096448,-1.028771
align_natural_data_array_ordered_1CI0_A.dat,0.9517067,-0.8811778
align_natural_data_array_ordered_1EFV_B.dat,1.2133307,-0.6161111
align_natural_data_array_ordered_1G58_B.dat,0.9818059,-0.7065925
align_natural_data_array_ordered_1GV3_A.dat,0.9903912,-0.8614399
align_natural_data_array_ordered_1HUJ_A.dat,1.0405669,-0.9432282
align_natural_data_array_ordered_1HUR_A.dat,1.0866960,-0.8513504
align_natural_data_array_ordered_1IBS_A.dat,0.8927109,-0.6502770
align_natural_data_array_ordered_1JLW_A.dat,1.117019,-0.713516
align_natural_data_array_ordered_1KY2_A.dat,1.1158061,-0.9127837
align_natural_data_array_ordered_1KZL_A.dat,0.9024324,-0.7694751
align_natural_data_array_ordered_1M3U_A.dat,1.0117534,-0.9338439
align_natural_data_array_ordered_1MOZ_A.dat,1.0507684,-0.7819246
align_natural_data_array_ordered_1OKC_A.dat,1.410840,-1.360521
align_natural_data_array_ordered_1PV1_A.dat,0.9666274,-0.9355465
align_natural_data_array_ordered_1QMV_A.dat,1.1755875,-0.9596723
align_natural_data_array_ordered_1R6M_A.dat,1.0301000,-0.9802782
align_natural_data_array_ordered_1RII_A.dat,0.9673945,-0.8272749
align_natural_data_array_ordered_1V9S_B.dat,0.8985426,-0.4684875
align_natural_data_array_ordered_1W7W_B.dat,1.157918,-1.057044
align_natural_data_array_ordered_1X1O_B.dat,0.7914337,-0.5888194
align_natural_data_array_ordered_1XTD_A.dat,0.96733570,-0.08267953
align_natural_data_array_ordered_1YPI_A.dat,0.8854229,-0.6291071
align_natural_data_array_ordered_1YSB_A.dat,1.173539,-1.061628
align_natural_data_array_ordered_1ZNN_A.dat,1.2676824,-0.9681156
align_natural_data_array_ordered_1ZWK_A.dat,1.0370654,-0.6264994
align_natural_data_array_ordered_2A84_A.dat,0.7639580,-0.5250457
align_natural_data_array_ordered_2AIU_A.dat,1.2827763,-0.9172264
align_natural_data_array_ordered_2BCG_Y.dat,0.9205456,-0.7384945
align_natural_data_array_ordered_2BR9_A.dat,1.147275,-1.027544
align_natural_data_array_ordered_2CFE_A.dat,1.144022,-1.035134
align_natural_data_array_ordered_2CJM_C.dat,1.0241077,-0.8761247
align_natural_data_array_ordered_2CNV_A.dat,0.9270454,-0.8044639
align_natural_data_array_ordered_2ESF_A.dat,0.9260688,-0.7755347
align_natural_data_array_ordered_2EU8_A.dat,1.183952,-1.160540
align_natural_data_array_ordered_2FLI_A.dat,0.8972528,-0.7398427
align_natural_data_array_ordered_2G0N_B.dat,1.0254206,-0.9001006
align_natural_data_array_ordered_2GV5_D.dat,1.1766197,-0.8031041
