PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	mean_KL	intercept	slope
1B4T	A	0.271864567477	0.950812865106	0.642529484405	0.468449045722	1.119462	-1.147578
1CI0	A	0.286064887526	1.16684592738	0.596615131892	0.502212203292	0.9328287	-0.9750074
1EFV	B	0.30072727118	0.840333079223	0.668663033671	0.752061384527	1.406264	-1.380000
1G58	B	0.240971720328	0.99471351381	0.58200885772	0.602804397292	1.0038355	-0.9374305
1GV3	A	0.234670622191	1.11142425536	0.719349808626	0.500031888116	1.032169	-1.256540
1HUJ	A	0.229433926429	0.952331299398	0.593274898572	0.581486497386	1.096312	-1.148792
1HUR	A	0.257334788616	0.582338938568	0.611670330421	0.741541425069	1.769873	-1.605462
1IBS	A	0.23927975617	0.81480650201	0.660736254162	0.812094549815	1.337197	-1.434054
1JLW	A	0.252546244352	0.585909786082	0.552049123506	0.893950955236	1.764004	-1.663237
1KY2	A	0.277746549113	0.948533125495	0.688727076805	0.471359767646	1.175092	-1.131994
1KZL	A	0.272263998943	0.904762539441	0.705457432005	0.771418199607	1.349867	-1.532434
1M3U	A	0.216935327278	0.890065760286	0.640708998917	0.609375718949	1.173487	-1.281430
1MOZ	A	0.24925475052	0.678341499823	0.577101254547	0.815131156681	1.556644	-1.518357
1OKC	A	0.273555885293	0.447779746406	0.45434838289	0.857743997642	2.076868	-1.616894
1PV1	A	0.214651335954	0.801421430273	0.680447969303	0.703340293886	1.332493	-1.424917
1QMV	A	0.267037249942	1.08251389918	0.604939097272	0.450441628979	1.014386	-1.102913
1R6M	A	0.251870117166	0.823697356701	0.634784086541	0.696132238229	1.341446	-1.448249
1RII	A	0.238112161049	1.04903217212	0.6709987764	0.623939230944	1.029833	-1.143825
1V9S	B	0.291048527792	0.778009949512	0.598876915408	0.856775910612	1.429504	-1.358398
1W7W	B	0.28605603807	0.793631627612	0.702957034028	0.736880198744	1.601505	-1.795649
1X1O	B	0.259761605593	0.914311424656	0.559346760636	0.884740837674	1.138716	-1.128070
1XTD	A	0.359417870806	0.596565947955	0.37711275925	0.829443819553	1.657275	-1.005188
1YPI	A	0.249239643811	0.999520095262	0.649065390792	0.596297661691	1.0070119	-0.9660319
1YSB	A	0.244461153636	0.737545422397	0.609857282208	0.79528815837	1.431719	-1.481365
1ZNN	A	0.24831884401	0.956228776684	0.590243386826	0.393104395973	1.0079264	-0.9213156
1ZWK	A	0.260574665389	0.758761956684	0.578528363106	0.649854246662	1.256351	-0.947525
2A84	A	0.263706110583	1.12008510423	0.607531129888	0.710061476668	0.8828535	-0.8550852
2AIU	A	0.311907544476	0.712977561237	0.495666014937	0.51381192919	1.659674	-1.600203
2BCG	Y	0.294191626365	0.962822854384	0.647852899425	0.658465548207	1.161323	-1.041786
2BR9	A	0.268165763329	0.841283549687	0.620606975415	0.623947514427	1.415277	-1.633485
2CFE	A	0.243569700844	1.08334312964	0.599473682107	0.427509228077	0.9684281	-1.0611383
2CJM	C	0.253074315573	1.06234146926	0.720418715581	0.496750940167	1.024916	-1.086862
2CNV	A	0.252445096167	1.0231031378	0.624711822663	0.643265736222	1.064363	-1.156413
2ESF	A	0.286815097759	0.760992248736	0.659538488698	0.793478757128	1.568560	-1.673337
2EU8	A	0.266040799893	0.833742458154	0.494904047226	0.624052867859	1.217533	-1.162731
2FLI	A	0.231035159097	0.878839401478	0.659491100062	0.768577766673	1.215142	-1.306192
2G0N	B	0.263307149214	1.12593331943	0.616264134947	0.439417960095	0.8985645	-0.9124775
2GV5	D	0.367905374418	0.178969595573	0.0852733689572	1.56470247453	2.6961811	-0.5888208
