PDB	chain	mean_entropy	mean_KL
1B4T	A	0.312555575912	0.703917437207
1CI0	A	0.587673897875	0.433409504108
1EFV	B	0.291720663374	0.711456001597
1G58	B	0.479114531061	0.706986656969
1GV3	A	0.559150115906	0.710589749015
1HUJ	A	0.517243873872	0.539882541861
1HUR	A	0.30089306724	0.595704241325
1IBS	A	0.278734267174	1.11727266279
1JLW	A	0.395548585831	0.601185077442
1KY2	A	0.384436092567	0.422064473407
1KZL	A	0.39102573413	0.905789034536
1M3U	A	0.435662548891	0.684257283144
1MOZ	A	0.376086147118	0.592774111608
1OKC	A	0.479085905106	0.420359115816
1PV1	A	0.357494254636	0.751876888286
1QMV	A	0.427861882614	0.482606705654
1R6M	A	0.334220424445	0.602824132806
1RII	A	0.262587964633	0.883949416972
1V9S	B	0.235557634115	1.2445841547
1W7W	B	0.3542518892	0.68441669681
1X1O	B	0.279514373266	1.1851364561
1XTD	A	0.0943417222204	1.2902677726
1YPI	A	0.367811924258	0.82010034958
1YSB	A	0.320788797404	0.814620957975
1ZNN	A	0.462564908428	0.446590460961
1ZWK	A	0.527276448461	0.500527147122
2A84	A	0.43105411089	1.04189249623
2AIU	A	0.226867960304	0.52814487295
2BCG	Y	0.290276525624	0.716833470751
2BR9	A	0.416148233284	0.345206836743
2CFE	A	0.339942651285	0.538339755305
2CJM	C	0.395283576668	0.446873094494
2CNV	A	0.553650238166	0.748152029502
2ESF	A	0.459521422849	0.544671040435
2EU8	A	0.492030000885	0.377631513297
2FLI	A	0.457938250917	0.896929423465
2G0N	B	0.598653238545	0.524406038612
2GV5	D	0.172494076223	0.500551436441
