align_data_array_ordered_1B4T_A_evolved.dat,1.119462,-1.147578
align_data_array_ordered_1CI0_A_evolved.dat,0.9328287,-0.9750074
align_data_array_ordered_1EFV_B_evolved.dat,1.406264,-1.380000
align_data_array_ordered_1G58_B_evolved.dat,1.0038355,-0.9374305
align_data_array_ordered_1GV3_A_evolved.dat,1.032169,-1.256540
align_data_array_ordered_1HUJ_A_evolved.dat,1.096312,-1.148792
align_data_array_ordered_1HUR_A_evolved.dat,1.769873,-1.605462
align_data_array_ordered_1IBS_A_evolved.dat,1.337197,-1.434054
align_data_array_ordered_1JLW_A_evolved.dat,1.764004,-1.663237
align_data_array_ordered_1KY2_A_evolved.dat,1.175092,-1.131994
align_data_array_ordered_1KZL_A_evolved.dat,1.349867,-1.532434
align_data_array_ordered_1M3U_A_evolved.dat,1.173487,-1.281430
align_data_array_ordered_1MOZ_A_evolved.dat,1.556644,-1.518357
align_data_array_ordered_1OKC_A_evolved.dat,2.076868,-1.616894
align_data_array_ordered_1PV1_A_evolved.dat,1.332493,-1.424917
align_data_array_ordered_1QMV_A_evolved.dat,1.014386,-1.102913
align_data_array_ordered_1R6M_A_evolved.dat,1.341446,-1.448249
align_data_array_ordered_1RII_A_evolved.dat,1.029833,-1.143825
align_data_array_ordered_1V9S_B_evolved.dat,1.429504,-1.358398
align_data_array_ordered_1W7W_B_evolved.dat,1.601505,-1.795649
align_data_array_ordered_1X1O_B_evolved.dat,1.138716,-1.128070
align_data_array_ordered_1XTD_A_evolved.dat,1.657275,-1.005188
align_data_array_ordered_1YPI_A_evolved.dat,1.0070119,-0.9660319
align_data_array_ordered_1YSB_A_evolved.dat,1.431719,-1.481365
align_data_array_ordered_1ZNN_A_evolved.dat,1.0079264,-0.9213156
align_data_array_ordered_1ZWK_A_evolved.dat,1.256351,-0.947525
align_data_array_ordered_2A84_A_evolved.dat,0.8828535,-0.8550852
align_data_array_ordered_2AIU_A_evolved.dat,1.659674,-1.600203
align_data_array_ordered_2BCG_Y_evolved.dat,1.161323,-1.041786
align_data_array_ordered_2BR9_A_evolved.dat,1.415277,-1.633485
align_data_array_ordered_2CFE_A_evolved.dat,0.9684281,-1.0611383
align_data_array_ordered_2CJM_C_evolved.dat,1.024916,-1.086862
align_data_array_ordered_2CNV_A_evolved.dat,1.064363,-1.156413
align_data_array_ordered_2ESF_A_evolved.dat,1.568560,-1.673337
align_data_array_ordered_2EU8_A_evolved.dat,1.217533,-1.162731
align_data_array_ordered_2FLI_A_evolved.dat,1.215142,-1.306192
align_data_array_ordered_2G0N_B_evolved.dat,0.8985645,-0.9124775
align_data_array_ordered_2GV5_D_evolved.dat,2.6961811,-0.5888208
