PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	mean_KL	intercept	slope
1B4T	A	0.271864567477	0.373747693645	0.0605843818056	1.18098569512	1.8169850	-0.2005143
1CI0	A	0.286064887526	0.644778360668	-0.158767548875	1.13692070444	1.0453335	0.7034394
1EFV	B	0.30072727118	0.50859503775	0.0159950661589	0.834996499128	1.46469459	-0.06009837
1G58	B	0.240971720328	0.557934516199	0.044099252468	0.947359860872	1.38424221	-0.06054894
1GV3	A	0.234670622191	0.634903149435	0.0792704524135	0.965484130618	1.2669340	-0.0665827
1HUJ	A	0.229433926429	0.536688773919	-0.0416652613231	1.1153476539	1.3218104	0.1642109
1HUR	A	0.257334788616	0.417793527987	0.0705613765776	1.02658077864	1.6731567	-0.2459343
1IBS	A	0.23927975617	0.465461720869	0.144665344207	1.19409344817	1.6782084	-0.6123721
1JLW	A	0.252546244352	0.568054970609	-0.00121368212837	0.778649627234	1.33142107	0.04786788
1KY2	A	0.277746549113	0.496999745543	0.0838314049966	0.909277125315	1.5686053	-0.2796259
1KZL	A	0.272263998943	0.43220510623	0.00408095526415	1.32387533115	1.63229241	0.06396611
1M3U	A	0.216935327278	0.530026715958	0.00158045124147	1.02283100567	1.3554720	0.1469814
1MOZ	A	0.24925475052	0.533980350778	0.177687331451	1.00674927905	1.5706338	-0.7172626
1OKC	A	0.273555885293	0.698546946932	-0.0369062760467	0.869316038694	1.0527468	0.2872449
1PV1	A	0.214651335954	0.413723462993	-0.0241678300681	1.3250854385	1.6195827	0.2346825
1QMV	A	0.267037249942	0.437613519093	-0.028667653903	0.876627058838	1.6167991	0.1908237
1R6M	A	0.251870117166	0.478061556683	0.0777957307687	1.13059326333	1.5792792	-0.3574945
1RII	A	0.238112161049	0.478109316727	0.12326848879	1.10899465371	1.5438119	-0.2348431
1V9S	B	0.291048527792	0.469567792199	0.115415368996	1.11384921922	1.7090328	-0.6077971
1W7W	B	0.28605603807	0.532050245898	0.0936417837981	1.06687140905	1.4211241	-0.1604867
1X1O	B	0.259761605593	0.423622290145	0.124731987877	1.44697807136	1.7277255	-0.3867631
1XTD	A	0.359417870806	0.48482572061	0.0738657918688	0.839641464627	1.572481	-0.229017
1YPI	A	0.249239643811	0.536635067758	0.0107722381271	1.12838646691	1.39085549	0.03406843
1YSB	A	0.244461153636	0.488421233052	0.0986308125652	0.920592943071	1.5929201	-0.1986152
1ZNN	A	0.24831884401	0.536278804971	0.0193563972443	0.759465858674	1.3321986	0.1539078
1ZWK	A	0.260574665389	0.504696842042	-0.0980876839462	0.894182863909	1.3988873	0.3974868
2A84	A	0.263706110583	0.569773716299	-0.0724263926768	1.24260600035	1.2478306	0.3658488
2AIU	A	0.311907544476	0.357725776477	-0.187123028482	0.884631051908	1.6198213	0.8130338
2BCG	Y	0.294191626365	0.463816157691	-0.0351833786785	1.27053805162	1.5421693	0.1118255
2BR9	A	0.268165763329	0.70875901364	0.149259483004	0.796714334357	1.249228	-0.289774
2CFE	A	0.243569700844	0.419522127521	0.0177413898167	0.93074159293	1.662901	-0.127946
2CJM	C	0.253074315573	0.441586775185	-0.070251040426	1.05948439161	1.5777174	0.3252599
2CNV	A	0.252445096167	0.555404875947	-0.0954041802259	1.26937650857	1.2419553	0.4215323
2ESF	A	0.286815097759	0.664163980249	0.0925380626238	0.91516056687	1.2964794	-0.2744662
2EU8	A	0.266040799893	0.612050484872	0.033656270137	0.913255558387	1.25107107	0.08295218
2FLI	A	0.231035159097	0.497482252209	-0.0292331514097	1.13531176351	1.4069603	0.2467485
2G0N	B	0.263307149214	0.644510554925	-0.0693642279784	0.893240262377	1.147061	0.343975
2GV5	D	0.367905374418	0.582764910968	-0.0234044109173	0.936276285941	1.2664860	0.1413597
