PDB	chain	mean_entropy	mean_KL
1B4T	A	0.297080201879	0.622285863225
1CI0	A	0.272594213202	0.484350096751
1EFV	B	0.153595775783	1.16914144905
1G58	B	0.30458390241	0.958321009899
1GV3	A	0.363304494314	0.665662592762
1HUJ	A	0.334651771682	0.480551353095
1HUR	A	0.172392721778	0.820131992703
1IBS	A	0.203925733271	1.21967058448
1JLW	A	0.140573098905	1.03320751111
1KY2	A	0.260272635796	0.501729508803
1KZL	A	0.182715554922	1.09796999377
1M3U	A	0.236144501611	0.81224072268
1MOZ	A	0.139634321991	1.05972414925
1OKC	A	0.0961376276593	0.689958248336
1PV1	A	0.212187513715	0.828126524037
1QMV	A	0.336811550248	0.50456751354
1R6M	A	0.16577481306	0.646632542529
1RII	A	0.305179681696	0.817356330613
1V9S	B	0.133020936857	1.70231858435
1W7W	B	0.0795611187211	1.22854550473
1X1O	B	0.308499470015	1.11864800439
1XTD	A	0.0426785939812	1.5376271534
1YPI	A	0.235666993961	0.822081620972
1YSB	A	0.188463795295	0.960760217165
1ZNN	A	0.29542446184	0.308906966794
1ZWK	A	0.158863110385	0.686834971017
2A84	A	0.350798071043	0.971057318232
2AIU	A	0.0682782430025	0.816958998593
2BCG	Y	0.209641089947	0.886793043122
2BR9	A	0.123215464358	0.485574096205
2CFE	A	0.407082952243	0.437371416184
2CJM	C	0.237358048035	0.579448374143
2CNV	A	0.347390617387	0.739433984808
2ESF	A	0.0952176568577	1.20948285381
2EU8	A	0.169696340703	0.606837491297
2FLI	A	0.261910020885	1.19971538552
2G0N	B	0.313613022465	0.497903689016
2GV5	D	0.0474985491027	0.822699396378
